,precision,recall,f1-score,support
facebook,0.7857142857142857,0.9166666666666666,0.8461538461538461,24.0
instagram,0.782608695652174,0.75,0.7659574468085107,24.0
orig,0.9523809523809523,0.8333333333333334,0.888888888888889,24.0
telegram,0.8888888888888888,0.6666666666666666,0.761904761904762,24.0
twitter,0.7241379310344828,0.875,0.7924528301886793,24.0
whatsapp,0.72,0.75,0.7346938775510204,24.0
accuracy,0.7986111111111112,0.7986111111111112,0.7986111111111112,0.7986111111111112
macro avg,0.8089551256117972,0.798611111111111,0.7983419419159512,144.0
weighted avg,0.8089551256117973,0.7986111111111112,0.7983419419159513,144.0
