,precision,recall,f1-score,support
facebook,0.88,0.9166666666666666,0.8979591836734694,24.0
instagram,0.72,0.75,0.7346938775510204,24.0
orig,0.9545454545454546,0.875,0.9130434782608695,24.0
telegram,0.7142857142857143,0.8333333333333334,0.7692307692307692,24.0
twitter,0.8260869565217391,0.7916666666666666,0.8085106382978724,24.0
whatsapp,0.8571428571428571,0.75,0.7999999999999999,24.0
accuracy,0.8194444444444444,0.8194444444444444,0.8194444444444444,0.8194444444444444
macro avg,0.8253434970826276,0.8194444444444445,0.8205729911690001,144.0
weighted avg,0.8253434970826274,0.8194444444444444,0.8205729911690001,144.0
