,precision,recall,f1-score,support
facebook,1.0,0.875,0.9333333333333333,24.0
instagram,0.95,0.7916666666666666,0.8636363636363635,24.0
orig,0.7741935483870968,1.0,0.8727272727272727,24.0
telegram,0.9583333333333334,0.9583333333333334,0.9583333333333334,24.0
twitter,1.0,0.9583333333333334,0.9787234042553191,24.0
whatsapp,0.92,0.9583333333333334,0.9387755102040817,24.0
accuracy,0.9236111111111112,0.9236111111111112,0.9236111111111112,0.9236111111111112
macro avg,0.9337544802867384,0.923611111111111,0.9242548695816173,144.0
weighted avg,0.9337544802867384,0.9236111111111112,0.9242548695816173,144.0
