,precision,recall,f1-score,support
facebook,1.0,0.9166666666666666,0.9565217391304348,24.0
instagram,0.96,1.0,0.9795918367346939,24.0
orig,0.92,0.9583333333333334,0.9387755102040817,24.0
telegram,0.96,1.0,0.9795918367346939,24.0
twitter,1.0,1.0,1.0,24.0
whatsapp,1.0,0.9583333333333334,0.9787234042553191,24.0
accuracy,0.9722222222222222,0.9722222222222222,0.9722222222222222,0.9722222222222222
macro avg,0.9733333333333333,0.9722222222222222,0.9722007211765372,144.0
weighted avg,0.9733333333333333,0.9722222222222222,0.9722007211765372,144.0
