,precision,recall,f1-score,support
facebook,0.9974093264248705,1.0,0.9987029831387808,385.0
instagram,0.9948320413436692,1.0,0.9974093264248705,385.0
orig,1.0,0.9974025974025974,0.9986996098829649,385.0
telegram,1.0,0.9922279792746114,0.9960988296488946,386.0
twitter,1.0,1.0,1.0,385.0
whatsapp,0.9974093264248705,1.0,0.9987029831387808,385.0
accuracy,0.9982691475551709,0.9982691475551709,0.9982691475551709,0.9982691475551709
macro avg,0.9982751156989016,0.9982717627795349,0.9982689553723819,2311.0
weighted avg,0.998275862078954,0.9982691475551709,0.9982680163305283,2311.0
