,precision,recall,f1-score,support
facebook,0.9699248120300752,0.5375,0.6916890080428955,240.0
instagram,0.16666666666666666,0.016666666666666666,0.0303030303030303,240.0
orig,0.3125,0.875,0.4605263157894737,240.0
telegram,0.7380191693290735,0.9829787234042553,0.843065693430657,235.0
twitter,0.9477911646586346,0.9833333333333333,0.9652351738241309,240.0
whatsapp,0.022727272727272728,0.004166666666666667,0.007042253521126761,240.0
accuracy,0.5651567944250872,0.5651567944250872,0.5651567944250872,0.5651567944250872
macro avg,0.5262715142352871,0.5666075650118204,0.4996435791518857,1435.0
weighted avg,0.5255337175276432,0.5651567944250872,0.4984469864192071,1435.0
