,precision,recall,f1-score,support
facebook,0.0,0.0,0.0,385.0
instagram,0.6531365313653137,0.46578947368421053,0.543778801843318,380.0
orig,1.0,1.0,1.0,385.0
telegram,1.0,0.09326424870466321,0.17061611374407584,386.0
twitter,1.0,0.812987012987013,0.8968481375358167,385.0
whatsapp,0.29592621060722524,1.0,0.45670225385527885,385.0
accuracy,0.562012142237641,0.562012142237641,0.562012142237641,0.562012142237641
macro avg,0.6581771236620898,0.5620067892293145,0.5113242178297482,2306.0
weighted avg,0.6583362849100611,0.562012142237641,0.5111060994324571,2306.0
