,precision,recall,f1-score,support
facebook,1.0,0.041666666666666664,0.07999999999999999,24.0
instagram,1.0,0.125,0.2222222222222222,24.0
orig,0.27586206896551724,1.0,0.4324324324324324,24.0
telegram,0.36363636363636365,0.3333333333333333,0.34782608695652173,24.0
twitter,1.0,0.75,0.8571428571428571,24.0
whatsapp,0.8461538461538461,0.4583333333333333,0.5945945945945945,24.0
accuracy,0.4513888888888889,0.4513888888888889,0.4513888888888889,0.4513888888888889
macro avg,0.7476087131259544,0.4513888888888889,0.422369698891438,144.0
weighted avg,0.7476087131259544,0.4513888888888889,0.422369698891438,144.0
