,precision,recall,f1-score,support
facebook,0.0,0.0,0.0,238.0
instagram,0.09433962264150944,0.020833333333333332,0.034129692832764506,240.0
orig,0.37142857142857144,0.8666666666666667,0.52,240.0
telegram,0.024691358024691357,0.00851063829787234,0.012658227848101266,235.0
twitter,0.3876500857632933,0.9416666666666667,0.5492102065613608,240.0
whatsapp,0.02564102564102564,0.016666666666666666,0.0202020202020202,240.0
accuracy,0.31053733426378227,0.31053733426378227,0.31053733426378227,0.31053733426378227
macro avg,0.15062511058318187,0.30905732860520096,0.18936669124070774,1433.0
weighted avg,0.15127474002069674,0.31053733426378227,0.19024755355713802,1433.0
