,precision,recall,f1-score,support
facebook,0.4,0.005194805194805195,0.010256410256410256,385.0
instagram,0.4519940915805022,0.796875,0.5768143261074457,384.0
orig,0.9697732997481109,1.0,0.9846547314578006,385.0
telegram,0.8685015290519877,0.7376623376623377,0.797752808988764,385.0
twitter,0.8938679245283019,0.9844155844155844,0.9369592088998763,385.0
whatsapp,0.7933194154488518,0.987012987012987,0.8796296296296297,385.0
accuracy,0.7518406236466003,0.7518406236466003,0.7518406236466003,0.7518406236466003
macro avg,0.7295760433929591,0.7518601190476191,0.6976778525566544,2309.0
weighted avg,0.7296962607822238,0.7518406236466003,0.6977301970895471,2309.0
