,precision,recall,f1-score,support
facebook,0.0,0.0,0.0,240.0
instagram,0.2,0.016666666666666666,0.03076923076923077,240.0
orig,0.299860529986053,0.8958333333333334,0.44932079414838033,240.0
telegram,0.02040816326530612,0.00425531914893617,0.007042253521126762,235.0
twitter,0.5234899328859061,0.975,0.6812227074235807,240.0
whatsapp,0.01020408163265306,0.008333333333333333,0.009174311926605505,240.0
accuracy,0.3177700348432056,0.3177700348432056,0.3177700348432056,0.3177700348432056
macro avg,0.17566045129498634,0.31668144208037824,0.19625488296482066,1435.0
weighted avg,0.17620140003376575,0.3177700348432056,0.19691416041932833,1435.0
