,precision,recall,f1-score,support
facebook,0.9974025974025974,0.9974025974025974,0.9974025974025974,385.0
instagram,0.9974093264248705,1.0,0.9987029831387808,385.0
orig,1.0,1.0,1.0,385.0
telegram,1.0,1.0,1.0,386.0
twitter,1.0,1.0,1.0,385.0
whatsapp,1.0,0.9974025974025974,0.9986996098829649,385.0
accuracy,0.9991345737775854,0.9991345737775854,0.9991345737775854,0.9991345737775854
macro avg,0.9991353206379113,0.9991341991341992,0.9991341984040573,2311.0
weighted avg,0.9991356947960083,0.9991345737775854,0.9991345730477594,2311.0
