,precision,recall,f1-score,support
facebook,0.7857142857142857,0.9166666666666666,0.8461538461538461,24.0
instagram,0.8571428571428571,0.75,0.7999999999999999,24.0
orig,0.9565217391304348,0.9166666666666666,0.9361702127659574,24.0
telegram,0.7857142857142857,0.9166666666666666,0.8461538461538461,24.0
twitter,0.9090909090909091,0.8333333333333334,0.8695652173913043,24.0
whatsapp,0.8636363636363636,0.7916666666666666,0.8260869565217391,24.0
accuracy,0.8541666666666666,0.8541666666666666,0.8541666666666666,0.8541666666666666
macro avg,0.8596367400715227,0.8541666666666666,0.8540216798311157,144.0
weighted avg,0.8596367400715228,0.8541666666666666,0.8540216798311154,144.0
