,precision,recall,f1-score,support
facebook,1.0,0.5,0.6666666666666666,24.0
instagram,0.95,0.7916666666666666,0.8636363636363635,24.0
orig,1.0,0.9166666666666666,0.9565217391304348,24.0
telegram,0.8571428571428571,0.25,0.3870967741935483,24.0
twitter,0.375,1.0,0.5454545454545454,24.0
whatsapp,1.0,0.7916666666666666,0.8837209302325582,24.0
accuracy,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.7083333333333334
macro avg,0.8636904761904761,0.7083333333333334,0.7171828365523528,144.0
weighted avg,0.8636904761904761,0.7083333333333334,0.7171828365523528,144.0
