epoch,time
0,22.068292379379272
1,14.559802293777466
2,14.743525266647339
3,10.933578491210938
4,15.092036724090576
5,15.127269506454468
6,14.973015308380127
7,11.077109813690186
8,11.153534412384033
9,15.215582370758057
10,11.346683979034424
11,15.712523460388184
12,15.617241382598877
13,15.35688304901123
14,15.479071140289307
15,11.263359785079956
16,15.295674562454224
17,15.072779178619385
18,15.289102792739868
19,11.282355070114136
0,12.024945974349976
1,11.436508655548096
2,15.417083024978638
3,15.24007511138916
4,15.5023775100708
5,11.42386770248413
6,11.56772780418396
7,15.385266780853271
8,15.229333639144897
9,15.471274852752686
10,15.322378396987915
11,15.154287338256836
12,11.585306167602539
13,11.74167799949646
14,15.954855680465698
15,15.373515129089355
16,12.0008704662323
17,16.05363440513611
18,15.484709024429321
19,15.46067500114441
