,precision,recall,f1-score,support
facebook,1.0,0.8333333333333334,0.9090909090909091,24.0
instagram,0.96,1.0,0.9795918367346939,24.0
orig,0.8235294117647058,0.5833333333333334,0.6829268292682927,24.0
telegram,0.5581395348837209,1.0,0.7164179104477612,24.0
twitter,0.9565217391304348,0.9166666666666666,0.9361702127659574,24.0
whatsapp,0.875,0.5833333333333334,0.7000000000000001,24.0
accuracy,0.8194444444444444,0.8194444444444444,0.8194444444444444,0.8194444444444444
macro avg,0.8621984476298102,0.8194444444444445,0.8206996163846023,144.0
weighted avg,0.8621984476298103,0.8194444444444444,0.8206996163846023,144.0
