,precision,recall,f1-score,support
facebook,0.88,0.9166666666666666,0.8979591836734694,24.0
instagram,0.92,0.9583333333333334,0.9387755102040817,24.0
orig,1.0,1.0,1.0,24.0
telegram,1.0,0.9166666666666666,0.9565217391304348,24.0
twitter,1.0,0.9166666666666666,0.9565217391304348,24.0
whatsapp,0.9230769230769231,1.0,0.9600000000000001,24.0
accuracy,0.9513888888888888,0.9513888888888888,0.9513888888888888,0.9513888888888888
macro avg,0.9538461538461539,0.9513888888888888,0.9516296953564033,144.0
weighted avg,0.9538461538461538,0.9513888888888888,0.9516296953564035,144.0
