epoch,time
0,22.19147753715515
1,14.06287169456482
2,14.585837602615356
3,14.775367259979248
4,14.647258758544922
5,10.606855392456055
6,10.971064567565918
7,14.891325235366821
8,15.020360469818115
9,15.251925468444824
10,15.319759845733643
11,15.084052085876465
12,10.99322772026062
13,15.345212936401367
14,15.257723093032837
15,10.900946855545044
16,14.87532114982605
17,11.128624200820923
18,11.396950483322144
19,15.01313591003418
0,15.783606052398682
1,15.683801889419556
2,15.255319118499756
3,14.936484575271606
4,15.415496587753296
5,15.11431360244751
6,10.85952091217041
7,15.066738843917847
8,11.223700523376465
9,11.168534755706787
10,15.080081224441528
11,15.071406602859497
12,15.120800495147705
13,15.454429388046265
14,11.434687852859497
15,11.389978885650635
16,15.67741060256958
17,16.42587637901306
18,15.368675708770752
19,16.01585292816162
