,precision,recall,f1-score,support
facebook,0.9661971830985916,0.8909090909090909,0.927027027027027,385.0
instagram,0.9935897435897436,0.8051948051948052,0.8895265423242468,385.0
orig,0.9459459459459459,1.0,0.9722222222222222,385.0
telegram,0.8631840796019901,0.8989637305699482,0.8807106598984772,386.0
twitter,0.9713541666666666,0.9688311688311688,0.9700910273081925,385.0
whatsapp,0.8536585365853658,1.0,0.9210526315789475,385.0
accuracy,0.9273041973171787,0.9273041973171787,0.9273041973171787,0.9273041973171787
macro avg,0.9323216092480506,0.9273164659175022,0.9267716850598523,2311.0
weighted avg,0.9322916925324962,0.9273041973171787,0.9267517538503494,2311.0
