epoch,time
0,151.7321219444275
1,144.12216353416443
2,194.55422711372375
3,197.1022822856903
4,232.1060173511505
5,226.61555576324463
6,314.69260334968567
7,302.89286732673645
8,361.69159293174744
9,334.82754707336426
