epoch,accuracy,loss,val_accuracy,val_loss
0,0.6914628744125366,5.110918045043945,0.9359584450721741,0.21686764061450958
1,0.9490370154380798,0.16603340208530426,0.968411922454834,0.0997040867805481
2,0.9680263996124268,0.09955158084630966,0.9710082411766052,0.07913714647293091
3,0.9745184779167175,0.07362928241491318,0.9627866744995117,0.10380113869905472
4,0.9421120882034302,0.24157875776290894,0.946776270866394,0.13035143911838531
5,0.9832287430763245,0.055647049099206924,0.9554305672645569,0.16027624905109406
6,0.9893962144851685,0.03340841084718704,0.9974037408828735,0.010304919444024563
7,0.995888352394104,0.014326797798275948,0.9995672702789307,0.0018358922097831964
8,0.9882600903511047,0.042273253202438354,0.9969710111618042,0.013713396154344082
9,0.9968080520629883,0.010907295159995556,1.0,0.0009048599749803543
