epoch,accuracy,loss,val_accuracy,val_loss
0,0.20034843683242798,19.428951263427734,0.21678321063518524,1.6981600522994995
1,0.23780487477779388,1.662939190864563,0.24475523829460144,1.6405421495437622
2,0.2770034968852997,1.6083170175552368,0.20279720425605774,1.608055591583252
3,0.2517421543598175,1.7059272527694702,0.28671327233314514,1.6539759635925293
4,0.25609755516052246,1.6379094123840332,0.279720276594162,1.565997838973999
5,0.2944251000881195,1.598010540008545,0.279720276594162,1.5879267454147339
6,0.3283972144126892,1.4967880249023438,0.3636363744735718,1.4527720212936401
7,0.29355400800704956,1.624600887298584,0.1958041936159134,1.6142990589141846
8,0.2804878056049347,1.6127376556396484,0.3426573574542999,1.4969838857650757
9,0.3571428656578064,1.4247633218765259,0.4545454680919647,1.2896742820739746
10,0.31010451912879944,1.6405885219573975,0.27272728085517883,1.5743499994277954
11,0.3162021040916443,1.5490022897720337,0.3496503531932831,1.4561543464660645
12,0.3231707215309143,1.4795517921447754,0.2237762212753296,1.6502435207366943
13,0.32229965925216675,1.474888801574707,0.3636363744735718,1.3165228366851807
14,0.38501742482185364,1.3507094383239746,0.3496503531932831,1.2905558347702026
15,0.3571428656578064,1.377060890197754,0.5174825191497803,1.206154704093933
16,0.4285714328289032,1.268064022064209,0.4895104765892029,1.0795326232910156
17,0.3074913024902344,1.523723840713501,0.42657342553138733,1.3127554655075073
18,0.46167248487472534,1.1873892545700073,0.5174825191497803,1.057474970817566
19,0.453832745552063,1.1361840963363647,0.5244755148887634,1.0199098587036133
20,0.4825783967971802,1.0692309141159058,0.3636363744735718,1.4219282865524292
21,0.5435540080070496,1.01273512840271,0.6713286638259888,0.8165103793144226
22,0.5662021040916443,0.959405779838562,0.6713286638259888,1.0344221591949463
23,0.588850200176239,0.9370624423027039,0.7342657446861267,0.7224206924438477
24,0.5357142686843872,1.047608733177185,0.5804196000099182,0.9225654602050781
25,0.553135871887207,1.0218538045883179,0.6783216595649719,0.8490602374076843
26,0.6637630462646484,0.7979581356048584,0.6713286638259888,0.7307056784629822
27,0.24216027557849884,17.72197151184082,0.1678321659564972,1.8069453239440918
28,0.17247386276721954,21.480709075927734,0.1678321659564972,1.8059865236282349
29,0.16724738478660583,1.8051787614822388,0.1678321659564972,1.8043370246887207
30,0.16724738478660583,1.8036268949508667,0.1678321659564972,1.8029561042785645
31,0.16724738478660583,1.802176594734192,0.1678321659564972,1.8015631437301636
