epoch,accuracy,loss,val_accuracy,val_loss
0,0.9488747119903564,0.17005418241024017,0.9922111630439758,0.03390427678823471
1,0.9882600903511047,0.051686886698007584,0.9948074221611023,0.012034932151436806
2,0.9952391386032104,0.03322099894285202,0.6270012855529785,1.2857089042663574
3,0.9956178069114685,0.02625134587287903,0.995672881603241,0.013305935077369213
4,0.9922635555267334,0.02927367202937603,0.9939420223236084,0.07169751077890396
5,0.9970244765281677,0.021964197978377342,0.9991346001625061,0.0026085723657160997
6,0.9971867799758911,0.013916312716901302,1.0,0.00018669330165721476
7,0.9957260489463806,0.015859272330999374,0.9736045002937317,0.06856664270162582
8,0.9959965348243713,0.017189159989356995,0.9987018704414368,0.005113925784826279
9,0.9969162344932556,0.011483064852654934,0.9969710111618042,0.007899955846369267
