epoch,accuracy,loss,val_accuracy,val_loss
0,0.8563622832298279,0.7345272898674011,0.876244068145752,0.3357539176940918
1,0.9691084027290344,0.12081344425678253,0.9952401518821716,0.02666694112122059
2,0.9821467399597168,0.0752672329545021,0.995672881603241,0.03288858383893967
3,0.9906946420669556,0.04706127196550369,0.9991346001625061,0.012443885207176208
4,0.9926422834396362,0.045373402535915375,0.9961056113243103,0.026414697989821434
5,0.9897749423980713,0.056288961321115494,0.9857204556465149,0.055062469094991684
6,0.9926964044570923,0.04563707858324051,0.9961056113243103,0.023963427171111107
7,0.9972949624061584,0.020450089126825333,0.9995672702789307,0.010293896310031414
8,0.9966457486152649,0.02379446104168892,0.9961056113243103,0.019378969445824623
9,0.9952391386032104,0.02837800607085228,0.9991346001625061,0.0089229391887784
