epoch,accuracy,loss,val_accuracy,val_loss
0,0.948279619216919,0.17860101163387299,0.9883167743682861,0.02809625118970871
1,0.9860960841178894,0.046052657067775726,0.995672881603241,0.01277584582567215
2,0.9951850175857544,0.016531754285097122,0.9909130334854126,0.022416938096284866
3,0.994968593120575,0.01596258208155632,0.9991346001625061,0.007744184695184231
4,0.9959424138069153,0.013884023763239384,0.9974037408828735,0.009008958004415035
5,0.9962670207023621,0.012221138924360275,0.9943747520446777,0.01232818141579628
6,0.9957260489463806,0.014859704300761223,0.9917784333229065,0.021068647503852844
7,0.9965375661849976,0.013297121040523052,0.9965382814407349,0.01399639155715704
8,0.9972949624061584,0.014303034171462059,0.9974037408828735,0.02247922308743
9,0.9984851479530334,0.005610985681414604,1.0,0.0004361578612588346
10,0.9963211417198181,0.014091338030993938,0.9987018704414368,0.006482954602688551
11,0.9961047172546387,0.02206660620868206,1.0,0.0023814309388399124
12,0.9975113868713379,0.01184779405593872,0.9987018704414368,0.002240517409518361
13,0.9978359937667847,0.010793608613312244,0.9995672702789307,0.002641556318849325
14,0.9985933899879456,0.0044203102588653564,1.0,0.0001682749280007556
15,0.9987015724182129,0.005338591057807207,1.0,0.000664614955894649
16,0.9977277517318726,0.00773271918296814,0.9995672702789307,0.0007211263291537762
17,0.9982687830924988,0.007491231430321932,1.0,0.00010615104110911489
18,0.9978359937667847,0.007616251707077026,1.0,6.708342698402703e-05
19,0.9985933899879456,0.005445584654808044,0.9995672702789307,0.0010180629324167967
