epoch,time
0,16.29710340499878
1,10.043779611587524
2,10.231717586517334
3,14.246134996414185
4,14.471781015396118
5,12.182669639587402
6,16.550360202789307
7,14.406098127365112
8,10.299641609191895
9,14.995677471160889
10,11.451992988586426
11,15.281438827514648
12,10.522709846496582
13,10.954106092453003
14,11.140409469604492
15,15.381959199905396
16,14.915664196014404
17,11.63541841506958
18,14.863757848739624
19,14.656012296676636
0,12.27853798866272
1,16.517602920532227
2,11.648144006729126
3,11.231596231460571
4,15.215276956558228
5,11.205639600753784
6,11.037497758865356
7,15.033203840255737
8,15.63381290435791
9,11.612270593643188
10,12.209285736083984
11,11.959684371948242
12,11.470179319381714
13,11.902788877487183
14,11.688277244567871
15,11.808423519134521
16,11.59064769744873
17,11.77916932106018
18,11.765268802642822
19,12.013603210449219
