epoch,time
0,4.628938436508179
1,6.614527463912964
2,6.6016457080841064
3,6.599217176437378
4,6.591235399246216
5,6.6077330112457275
6,6.629769563674927
7,6.628415107727051
8,6.633551597595215
9,6.621931552886963
10,6.622575044631958
11,6.6157310009002686
12,6.658740043640137
13,6.63020920753479
14,6.643778085708618
15,6.614573240280151
16,6.6473424434661865
17,6.6324193477630615
18,6.637551546096802
19,6.657820224761963
20,6.654244661331177
21,6.646965026855469
22,6.640515327453613
23,6.647016525268555
24,6.651487350463867
25,6.651907444000244
26,6.671947240829468
27,6.651493310928345
28,6.657647371292114
29,6.685473442077637
30,6.676641464233398
31,6.674178600311279
