epoch,time
0,15.838801622390747
1,9.424378871917725
2,13.680111169815063
3,13.340123414993286
4,13.36608624458313
5,13.52313780784607
6,13.934977054595947
7,9.315521717071533
8,13.60661768913269
9,9.368093729019165
10,14.093705415725708
11,10.754184246063232
12,14.137488603591919
13,9.245528221130371
14,13.699662923812866
15,13.516755819320679
16,9.200093507766724
17,9.22096872329712
18,13.596607685089111
19,9.36838674545288
20,9.523088693618774
21,13.577030420303345
22,9.42605447769165
23,9.71267557144165
24,9.40775203704834
25,9.564560651779175
26,10.668611288070679
27,14.300182342529297
28,13.895089149475098
29,10.18180251121521
30,13.886138439178467
31,14.380132913589478
32,14.415428876876831
33,14.172809600830078
34,9.877728700637817
35,14.143197059631348
36,14.267858982086182
37,13.94056248664856
38,9.432563781738281
39,9.257647037506104
