epoch,time
0,18.222843647003174
1,11.664193630218506
2,15.187773704528809
3,11.497977018356323
4,11.503806829452515
5,10.78967809677124
6,10.966346502304077
7,10.596823453903198
8,15.11490774154663
9,11.478126287460327
10,11.552759885787964
11,11.705573797225952
12,11.02523398399353
13,11.216381311416626
14,15.367565870285034
15,15.698755025863647
16,11.20852518081665
17,14.994783163070679
18,10.541885614395142
19,10.584704160690308
0,11.019386529922485
1,10.626640558242798
2,10.53528094291687
3,14.890078067779541
4,14.664275646209717
5,14.858637809753418
6,10.528181791305542
7,14.580547571182251
8,14.67558479309082
9,14.613919973373413
10,14.675435066223145
11,10.461925268173218
12,10.546761751174927
13,14.709567070007324
14,10.739609003067017
15,10.676397323608398
16,15.089646816253662
17,10.955564498901367
18,15.270506143569946
19,14.98510217666626
