epoch,time
0,15.180726289749146
1,14.007567882537842
2,9.349690437316895
3,9.10096526145935
4,13.450507640838623
5,13.465618371963501
6,9.302987813949585
7,9.514978408813477
8,14.038364887237549
9,13.879225969314575
10,14.248490571975708
11,14.248578548431396
12,9.699323177337646
13,13.866281986236572
14,14.238837003707886
15,9.433692455291748
16,9.707290887832642
17,9.638925313949585
18,14.270241498947144
19,14.351450443267822
20,14.053616046905518
21,14.080531358718872
22,14.162877798080444
23,14.241713047027588
24,14.057473421096802
25,10.122404098510742
26,9.600847244262695
27,14.203224897384644
28,9.595867156982422
29,9.241388320922852
30,9.90320348739624
31,9.619556903839111
32,9.674375534057617
33,9.642449617385864
34,14.724733591079712
35,14.280776262283325
36,10.242854118347168
37,14.27951455116272
38,14.226293087005615
39,14.108749866485596
