epoch,time
0,12.991918563842773
1,7.986754894256592
2,8.20531153678894
3,8.079816818237305
4,8.214104175567627
5,8.099568128585815
6,8.121814250946045
7,8.03248929977417
8,8.114565372467041
9,7.919962406158447
10,7.86639404296875
11,7.988075017929077
12,7.8237669467926025
13,8.270463466644287
14,8.13840913772583
15,8.187316417694092
16,3.6405885219573975
17,8.132582664489746
18,8.292061567306519
19,8.081900596618652
20,8.016583442687988
21,7.935547351837158
22,7.919787645339966
23,8.055510997772217
24,8.3171546459198
25,3.6242551803588867
26,3.6064999103546143
27,8.245559692382812
28,8.198579788208008
29,8.239686250686646
30,7.933714151382446
31,8.257951736450195
32,8.2654869556427
33,7.926684379577637
34,3.7050106525421143
35,8.214335203170776
36,8.128353595733643
37,7.937254428863525
38,3.4553093910217285
39,3.397207498550415
40,3.469926118850708
41,8.095380306243896
42,8.044589281082153
43,8.043111324310303
44,8.185657739639282
45,7.981125354766846
46,7.894143104553223
47,8.143508911132812
48,7.907107591629028
49,7.911622047424316
