epoch,time
0,12.678448915481567
1,7.893272161483765
2,7.919994115829468
3,7.863453388214111
4,7.869811773300171
5,7.899939298629761
6,7.945343732833862
7,7.99998927116394
8,7.769653081893921
9,7.839834928512573
10,7.894071817398071
11,7.749256610870361
12,7.811760902404785
13,7.879980802536011
14,8.03057336807251
15,8.06512188911438
16,8.149794101715088
17,7.993299961090088
18,8.046927213668823
19,3.46840763092041
20,8.030822277069092
21,7.941429376602173
22,7.927569150924683
23,3.5410971641540527
24,8.048822164535522
25,8.013467788696289
26,3.47385311126709
27,8.047950506210327
28,7.962871551513672
29,8.057208061218262
30,8.049458742141724
31,7.8631157875061035
32,8.060103416442871
33,8.112295389175415
34,8.013586282730103
35,7.79626727104187
36,3.442474126815796
37,8.150146484375
38,3.474923849105835
39,7.9494948387146
40,7.78408145904541
41,7.787996768951416
42,7.97153377532959
43,3.4870858192443848
44,8.111902952194214
45,8.128347873687744
46,7.8351781368255615
47,3.3346476554870605
48,8.063390493392944
49,8.05719542503357
