epoch,time
0,21.482288360595703
1,11.201619625091553
2,15.29348874092102
3,15.802495956420898
4,15.096367835998535
5,11.428648948669434
6,11.29604983329773
7,11.510786294937134
8,16.50826930999756
9,11.137379169464111
10,15.19556188583374
11,11.195505142211914
12,15.353062391281128
13,15.173557758331299
14,11.287407398223877
15,13.132581233978271
16,10.669643878936768
17,10.929622411727905
18,10.758248090744019
19,10.815935373306274
0,11.178773164749146
1,14.880239248275757
2,14.995445966720581
3,15.045077085494995
4,14.949251174926758
5,15.17828631401062
6,11.011229991912842
7,11.364933729171753
8,15.31548523902893
9,15.272870302200317
10,11.663488626480103
11,15.170145273208618
12,15.45595932006836
13,11.584007978439331
14,11.502389669418335
15,11.398631811141968
16,11.240413904190063
17,11.277671813964844
18,11.746588468551636
19,15.542181253433228
